Timestamp,Alpha,Beta,Gamma,Alpha_Rel,Beta_Rel,Gamma_Rel,Marker
2025-11-06T17:46:34,0.081,0.212,0.156,0.181,0.472,0.347,
2025-11-06T17:46:35,0.089,0.293,0.141,0.170,0.560,0.269,
2025-11-06T17:46:36,0.123,0.193,0.110,0.288,0.454,0.258,
2025-11-06T17:46:37,111090.229,19337.863,14053.889,0.769,0.134,0.097,
2025-11-06T17:46:38,659929.371,177388.849,15444.726,0.774,0.208,0.018,
2025-11-06T17:46:39,9266301.516,4637576.599,577125.838,0.640,0.320,0.040,
2025-11-06T17:46:40,50846.094,66818.211,72587.814,0.267,0.351,0.382,
2025-11-06T17:46:41,0.266,0.336,0.298,0.295,0.374,0.331,
2025-11-06T17:46:42,0.715,0.281,0.340,0.535,0.210,0.254,
2025-11-06T17:46:43,205.856,31.903,2.856,0.856,0.133,0.012,
2025-11-06T17:46:44,6.338,3.804,0.966,0.571,0.342,0.087,
2025-11-06T17:46:45,3.016,4.173,0.850,0.375,0.519,0.106,
2025-11-06T17:46:46,3.859,3.612,0.814,0.466,0.436,0.098,
2025-11-06T17:46:47,3.167,3.838,0.947,0.398,0.483,0.119,
2025-11-06T17:46:48,4.286,1.893,1.340,0.570,0.252,0.178,
2025-11-06T17:46:49,0.333,0.297,0.328,0.347,0.310,0.342,
2025-11-06T17:46:50,0.655,0.370,0.111,0.576,0.326,0.098,
2025-11-06T17:46:51,0.066,0.115,0.080,0.253,0.441,0.307,
2025-11-06T17:46:52,0.003,0.001,0.000,0.782,0.189,0.029,
2025-11-06T17:46:53,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:46:54,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:46:55,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:46:56,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:46:57,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:46:58,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:46:59,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:00,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:01,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:02,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:03,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:04,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:05,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:06,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:07,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:08,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:09,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:10,0.000,0.000,0.000,0.554,0.236,0.210,
