Timestamp,Alpha_L,Beta_L,Gamma_L,Alpha_R,Beta_R,Gamma_R,AlphaL_rel,BetaL_rel,GammaL_rel,AlphaR_rel,BetaR_rel,GammaR_rel,Marker
2025-11-06T17:59:20,0.078,0.245,0.209,0.082,0.251,0.207,0.146,0.461,0.393,0.152,0.464,0.384,
2025-11-06T17:59:21,0.118,0.280,0.283,0.117,0.277,0.284,0.173,0.411,0.416,0.173,0.409,0.419,
2025-11-06T17:59:22,0.242,0.147,0.224,0.241,0.150,0.223,0.394,0.240,0.366,0.393,0.244,0.363,
2025-11-06T17:59:23,0.191,0.221,0.215,0.192,0.218,0.209,0.305,0.352,0.343,0.310,0.353,0.337,
2025-11-06T17:59:24,0.154,0.318,0.115,0.161,0.313,0.113,0.262,0.542,0.196,0.275,0.533,0.192,
2025-11-06T17:59:25,0.130,0.277,0.156,0.128,0.280,0.160,0.231,0.492,0.277,0.225,0.493,0.282,
2025-11-06T17:59:26,0.050,0.267,0.114,0.051,0.266,0.117,0.116,0.619,0.265,0.118,0.613,0.269,
2025-11-06T17:59:27,0.142,0.243,0.103,0.147,0.246,0.099,0.291,0.499,0.210,0.299,0.501,0.201,
2025-11-06T17:59:28,0.125,0.319,0.174,0.122,0.322,0.174,0.202,0.517,0.281,0.198,0.522,0.281,
2025-11-06T17:59:29,75486.984,52495.507,26692.988,74720.451,58807.778,26024.825,0.488,0.339,0.173,0.468,0.369,0.163,
2025-11-06T17:59:30,22396610.352,7453044.765,489695.007,44085469.177,7880654.965,1551084.769,0.738,0.246,0.016,0.824,0.147,0.029,
2025-11-06T17:59:31,344210.323,412724.864,421173.307,701584.366,643439.561,495305.793,0.292,0.350,0.357,0.381,0.350,0.269,
2025-11-06T17:59:32,1934747.978,683834.503,471668.326,643213.858,584371.568,299811.211,0.626,0.221,0.153,0.421,0.383,0.196,
2025-11-06T17:59:33,1130088.195,537678.022,499915.484,775264.233,421302.531,315267.508,0.521,0.248,0.231,0.513,0.279,0.209,
2025-11-06T17:59:34,3743484.495,2316669.313,375238.996,35591460.105,29987339.923,4099778.649,0.582,0.360,0.058,0.511,0.430,0.059,
2025-11-06T17:59:35,3704712.024,2202013.643,364625.086,13237328.012,16492300.012,2789387.969,0.591,0.351,0.058,0.407,0.507,0.086,
2025-11-06T17:59:36,1794068.174,11032421.267,3055119.991,1600578.956,13425811.633,2648552.691,0.113,0.695,0.192,0.091,0.760,0.150,
2025-11-06T17:59:37,18823753.494,17287859.299,3412985.553,23817281.690,23617807.806,4077281.238,0.476,0.437,0.086,0.462,0.458,0.079,
2025-11-06T17:59:38,11099039.506,6683177.540,1673084.960,12812109.974,6372042.453,1713480.804,0.570,0.344,0.086,0.613,0.305,0.082,
2025-11-06T17:59:39,45311488.083,15383212.626,1503629.057,66723615.659,19458908.312,2437752.381,0.729,0.247,0.024,0.753,0.220,0.028,
2025-11-06T17:59:40,9152065.802,6969944.709,1032363.736,3586311.048,4880864.442,902642.488,0.534,0.406,0.060,0.383,0.521,0.096,
2025-11-06T17:59:41,10790876.929,10724328.691,2589684.450,13713338.992,9627620.409,2631006.445,0.448,0.445,0.107,0.528,0.371,0.101,
2025-11-06T17:59:42,43959047.496,32029589.616,6503530.071,34044418.794,19444752.127,3785078.162,0.533,0.388,0.079,0.594,0.340,0.066,
2025-11-06T17:59:43,16742698.070,14665655.416,1875269.394,10762847.789,9472347.035,2407063.145,0.503,0.441,0.056,0.475,0.418,0.106,
2025-11-06T17:59:44,78627345.021,38684891.489,8844466.822,48727138.643,16431348.953,3984190.110,0.623,0.307,0.070,0.705,0.238,0.058,
2025-11-06T17:59:45,38654906.098,10532427.581,2241683.181,61949676.102,38450186.201,1419720.758,0.752,0.205,0.044,0.608,0.378,0.014,
2025-11-06T17:59:46,35827589.193,39348473.684,6430950.317,66238652.965,42970279.353,5043012.344,0.439,0.482,0.079,0.580,0.376,0.044,
2025-11-06T17:59:47,19796159.443,10974712.685,2517611.601,21281624.694,12900147.630,1531159.551,0.595,0.330,0.076,0.596,0.361,0.043,
2025-11-06T17:59:48,14433806.606,7685839.779,1384835.539,11578318.733,7961701.097,1561061.182,0.614,0.327,0.059,0.549,0.377,0.074,
2025-11-06T17:59:49,10210502.830,6783253.116,1147155.395,13078885.705,14871047.476,1204031.966,0.563,0.374,0.063,0.449,0.510,0.041,
2025-11-06T17:59:50,2.702,2.456,0.520,7.403,7.412,0.993,0.476,0.433,0.092,0.468,0.469,0.063,
2025-11-06T17:59:51,226.641,299.985,276.870,226.758,300.017,276.928,0.282,0.373,0.345,0.282,0.373,0.345,
2025-11-06T17:59:52,555.166,520.074,352.747,555.081,520.376,353.025,0.389,0.364,0.247,0.389,0.364,0.247,
